변환,원자료
"2001/01","1,265.50"
"2001/02","1,245.70"
"2001/03","1,328.00"
"2001/04","1,324.70"
"2001/05","1,292.90"
"2001/06","1,300.70"
"2001/07","1,301.40"
"2001/08","1,283.80"
"2001/09","1,309.10"
"2001/10","1,296.10"
"2001/11","1,274.00"
"2001/12","1,326.10"
"2002/01","1,314.80"
"2002/02","1,327.70"
"2002/03","1,326.40"
"2002/04","1,292.20"
"2002/05","1,233.30"
"2002/06","1,201.80"
"2002/07","1,197.00"
"2002/08","1,200.50"
"2002/09","1,225.50"
"2002/10","1,233.40"
"2002/11","1,208.00"
"2002/12","1,200.40"
"2003/01","1,170.50"
"2003/02","1,186.80"
"2003/03","1,252.90"
"2003/04","1,213.10"
"2003/05","1,206.60"
"2003/06","1,193.10"
"2003/07","1,180.00"
"2003/08","1,179.90"
"2003/09","1,150.20"
"2003/10","1,177.30"
"2003/11","1,202.60"
"2003/12","1,197.80"
"2004/01","1,173.60"
"2004/02","1,174.50"
"2004/03","1,153.60"
"2004/04","1,167.70"
"2004/05","1,165.70"
"2004/06","1,152.50"
"2004/07","1,168.30"
"2004/08","1,153.80"
"2004/09","1,147.90"
"2004/10","1,126.00"
"2004/11","1,047.90"
"2004/12","1,043.80"
"2005/01","1,026.40"
"2005/02","1,008.10"
"2005/03","1,024.30"
"2005/04","1,002.50"
"2005/05","1,002.50"
"2005/06","1,024.40"
"2005/07","1,028.30"
"2005/08","1,031.00"
"2005/09","1,038.00"
"2005/10","1,042.70"
"2005/11","1,036.30"
"2005/12","1,013.00"
"2006/01","971.00"
"2006/02","969.00"
"2006/03","975.90"
"2006/04","945.70"
"2006/05","947.40"
"2006/06","960.30"
"2006/07","953.10"
"2006/08","959.60"
"2006/09","945.20"
"2006/10","944.20"
"2006/11","929.90"
"2006/12","929.60"
"2007/01","940.90"
"2007/02","938.30"
"2007/03","940.30"
"2007/04","929.40"
"2007/05","929.90"
"2007/06","926.80"
"2007/07","923.20"
"2007/08","939.90"
"2007/09","920.70"
"2007/10","907.40"
"2007/11","929.60"
"2007/12","938.20"
"2008/01","943.90"
"2008/02","937.30"
"2008/03","991.70"
"2008/04","999.70"
"2008/05","1,031.40"
"2008/06","1,043.40"
"2008/07","1,008.50"
"2008/08","1,081.80"
"2008/09","1,187.70"
"2008/10","1,291.40"
"2008/11","1,482.70"
"2008/12","1,257.50"
"2009/01","1,368.50"
"2009/02","1,516.40"
"2009/03","1,377.10"
"2009/04","1,348.00"
"2009/05","1,272.90"
"2009/06","1,284.70"
"2009/07","1,240.50"
"2009/08","1,244.90"
"2009/09","1,188.70"
"2009/10","1,200.60"
"2009/11","1,167.40"
"2009/12","1,167.60"
"2010/01","1,156.50"
"2010/02","1,158.40"
"2010/03","1,130.80"
"2010/04","1,115.50"
"2010/05","1,200.20"
"2010/06","1,210.30"
"2010/07","1,187.20"
"2010/08","1,189.10"
"2010/09","1,142.00"
"2010/10","1,126.60"
"2010/11","1,157.30"
"2010/12","1,138.90"
"2011/01","1,114.30"
"2011/02","1,127.90"
"2011/03","1,107.20"
"2011/04","1,072.30"
"2011/05","1,080.60"
"2011/06","1,078.10"
"2011/07","1,052.60"
"2011/08","1,071.70"
"2011/09","1,179.50"
"2011/10","1,104.50"
"2011/11","1,150.30"
"2011/12","1,153.30"
"2012/01","1,125.00"
"2012/02","1,126.50"
"2012/03","1,137.80"
"2012/04","1,134.20"
"2012/05","1,177.80"
"2012/06","1,153.80"
"2012/07","1,136.20"
"2012/08","1,134.60"
"2012/09","1,118.60"
"2012/10","1,094.10"
"2012/11","1,084.70"
"2012/12","1,071.10"
"2013/01","1,082.70"
"2013/02","1,085.40"
"2013/03","1,112.10"
"2013/04","1,108.10"
"2013/05","1,128.30"
"2013/06","1,149.70"
"2013/07","1,113.60"
"2013/08","1,110.90"
"2013/09","1,075.60"
"2013/10","1,061.40"
"2013/11","1,062.10"
"2013/12","1,055.30"
"2014/01","1,079.20"
"2014/02","1,067.70"
"2014/03","1,068.80"
"2014/04","1,031.70"
"2014/05","1,021.60"
"2014/06","1,014.40"
"2014/07","1,024.30"
"2014/08","1,013.60"
"2014/09","1,050.60"
"2014/10","1,054.00"
"2014/11","1,101.10"
"2014/12","1,099.20"
"2015/01","1,090.80"
"2015/02","1,099.20"
"2015/03","1,105.00"
"2015/04","1,068.10"
"2015/05","1,108.00"
"2015/06","1,124.10"
"2015/07","1,166.30"
"2015/08","1,176.30"
"2015/09","1,194.50"
"2015/10","1,142.30"
"2015/11","1,150.40"
"2015/12","1,172.00"
"2016/01","1,208.40"
"2016/02","1,235.40"
"2016/03","1,153.50"
"2016/04","1,143.90"
"2016/05","1,190.60"
"2016/06","1,164.70"
"2016/07","1,125.70"
"2016/08","1,118.50"
"2016/09","1,096.30"
"2016/10","1,145.20"
"2016/11","1,168.50"
"2016/12","1,208.50"
"2017/01","1,157.80"
"2017/02","1,132.10"
"2017/03","1,116.10"
"2017/04","1,130.10"
"2017/05","1,123.90"
"2017/06","1,139.60"
"2017/07","1,119.10"
"2017/08","1,122.80"
"2017/09","1,146.70"
"2017/10","1,125.00"
"2017/11","1,082.40"
"2017/12","1,071.40"
"2018/01","1,071.50"
"2018/02","1,071.00"
"2018/03","1,066.50"
"2018/04","1,076.20"
"2018/05","1,081.30"
"2018/06","1,121.70"
"2018/07","1,116.70"
"2018/08","1,108.80"
"2018/09","1,112.70"
"2018/10","1,140.60"
"2018/11","1,121.80"
"2018/12","1,118.10"
"2019/01","1,117.20"
"2019/02","1,117.80"
"2019/03","1,137.80"
"2019/04","1,158.20"
"2019/05","1,190.00"
"2019/06","1,156.80"
"2019/07","1,182.00"
"2019/08","1,215.20"
"2019/09","1,201.30"
"2019/10","1,168.40"
"2019/11","1,179.30"
"2019/12","1,157.80"
"2020/01","1,183.50"
"2020/02","1,215.90"
"2020/03","1,222.60"
"2020/04","1,225.20"
"2020/05","1,239.40"
"2020/06","1,200.70"
"2020/07","1,191.40"
"2020/08","1,185.10"
"2020/09","1,173.50"
"2020/10","1,133.40"
"2020/11","1,104.40"
"2020/12","1,088.00"
"2021/01","1,114.60"
"2021/02","1,108.40"
"2021/03","1,133.50"
"2021/04","1,107.40"
"2021/05","1,116.00"
"2021/06","1,130.00"